title,release_year,country,duration,language,certification,gross,budget
Battle for the Planet of the Apes,1973,USA,96,English,G,,1800000
High Plains Drifter,1973,USA,105,English,R,,5500000
Live and Let Die,1973,UK,121,English,PG,35400000,7000000
Mean Streets,1973,USA,112,English,R,32645,500000
Pat Garrett & Billy the Kid,1973,USA,106,English,R,,4638783
Sleeper,1973,USA,89,English,PG,,2000000
The Exorcist,1973,USA,132,English,R,204565000,8000000
The Sting,1973,USA,129,English,PG,159600000,5500000
Benji,1974,USA,86,English,G,39552600,500000
Blazing Saddles,1974,USA,93,English,R,119500000,2600000
The Conversation,1974,USA,113,English,PG,,1600000
The Front Page,1974,USA,105,English,PG,,4000000
The Godfather: Part II,1974,USA,220,English,R,57300000,13000000
The Man with the Golden Gun,1974,UK,125,English,PG,21000000,13000000
The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000,83532
The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000,83532
Young Frankenstein,1974,USA,106,English,PG,86300000,2800000
Barry Lyndon,1975,UK,184,English,PG,,11000000
Death Race 2000,1975,USA,80,English,R,,300000
Jaws,1975,USA,130,English,PG,260000000,8000000
Monty Python and the Holy Grail,1975,UK,91,English,PG,1229197,229575
One Flew Over the Cuckoo's Nest,1975,USA,133,English,R,112000000,4400000
The Return of the Pink Panther,1975,UK,113,English,G,,5000000
Family Plot,1976,USA,120,English,PG,,4490375
Logan's Run,1976,USA,119,English,PG,25000000,9000000
Network,1976,USA,121,English,R,,3800000
Robin and Marian,1976,USA,106,English,PG,,5000000
Rocky,1976,USA,145,English,PG,117235247,960000
Silent Movie,1976,USA,87,,PG,,4400000
Taxi Driver,1976,USA,110,English,R,,1300000
The Bad News Bears,1976,USA,102,English,PG,,
The Omen,1976,UK,107,English,R,,2800000
The Omen,1976,UK,107,English,R,,2800000
A Bridge Too Far,1977,USA,175,English,PG,50800000,26000000
Annie Hall,1977,USA,93,English,PG,39200000,4000000
Capricorn One,1977,USA,130,English,PG,,5000000
Close Encounters of the Third Kind,1977,USA,135,English,PG,128300000,19400870
Damnation Alley,1977,USA,91,English,PG,,17000000
Eraserhead,1977,USA,89,English,Unrated,,20000
Exorcist II: The Heretic,1977,USA,118,English,R,,14000000
High Anxiety,1977,USA,94,English,PG,,3400000
Julia,1977,USA,117,English,PG,,7840000
Kingdom of the Spiders,1977,USA,97,English,PG,17000000,500000
March or Die,1977,UK,107,English,PG,1000000,9000000
"New York, New York",1977,USA,136,English,PG,,14000000
Sorcerer,1977,USA,92,English,PG,,12000000
Star Wars: Episode IV - A New Hope,1977,USA,125,English,PG,460935665,11000000
The Kentucky Fried Movie,1977,USA,83,English,R,,650000
The Spy Who Loved Me,1977,UK,123,English,PG,46800000,14000000
Alien Zone,1978,USA,79,English,PG,,350000
Animal House,1978,USA,109,English,R,141600000,3000000
Caravans,1978,Iran,127,English,PG,1000000,14000000
Days of Heaven,1978,USA,94,English,PG,,3000000
F.I.S.T.,1978,USA,145,English,PG,,11000000
Force 10 from Navarone,1978,UK,126,English,PG,,5000000
Grease,1978,USA,110,English,PG-13,181360000,6000000
Halloween,1978,USA,101,English,R,47000000,300000
Halloween,1978,USA,101,English,R,47000000,300000
Halloween,1978,USA,101,English,R,47000000,300000
Jaws 2,1978,USA,131,English,PG,102922376,20000000
Superman,1978,USA,188,English,PG,134218018,55000000
The Boys from Brazil,1978,UK,125,English,R,,12000000
The Deer Hunter,1978,UK,183,English,R,,15000000
The Last Waltz,1978,USA,117,English,PG,321952,
The Wiz,1978,USA,118,English,G,13000000,24000000
1941,1979,USA,142,English,PG,,35000000
Alien,1979,UK,116,English,R,78900000,11000000
All That Jazz,1979,USA,123,English,R,,
Apocalypse Now,1979,USA,289,English,R,78800000,31500000
Escape from Alcatraz,1979,USA,112,English,PG,36500000,8000000
Mad Max,1979,Australia,93,English,R,,200000
Meteor,1979,USA,108,English,PG,,16000000
Moonraker,1979,UK,126,English,PG,62700000,34000000
Penitentiary,1979,USA,99,English,R,,100000
Prophecy,1979,USA,102,English,PG,,12000000
Star Trek: The Motion Picture,1979,USA,143,English,PG,82300000,35000000
The Black Hole,1979,USA,98,English,PG,,20000000
The Black Stallion,1979,USA,118,English,G,,2700000
The Great Train Robbery,1979,UK,110,English,PG,,6000000
The Muppet Movie,1979,UK,95,English,G,76657000,
The Rose,1979,USA,125,English,R,29200000,8500000
Airplane!,1980,USA,88,English,PG,83400000,3500000
Caddyshack,1980,USA,98,English,R,39800000,6000000
Can't Stop the Music,1980,USA,124,English,PG,2000000,20000000
Coal Miner's Daughter,1980,USA,124,English,PG,79900000,
Dressed to Kill,1980,USA,104,English,X,31899000,6500000
Flash Gordon,1980,UK,111,English,PG,,20000000
Galaxina,1980,USA,95,English,R,,
Heaven's Gate,1980,USA,325,English,R,1500000,44000000
Lion of the Desert,1980,Libya,156,English,PG,,35000000
Ordinary People,1980,USA,124,English,R,54800000,6000000
Out of the Blue,1980,Canada,94,English,R,,2200000
Private Benjamin,1980,USA,109,English,R,69800000,10000000
Raging Bull,1980,USA,121,English,R,45250,18000000
Raise the Titanic,1980,UK,119,English,PG,7000000,36000000
Somewhere in Time,1980,USA,103,English,PG,,5100000
Star Wars: Episode V - The Empire Strikes Back,1980,USA,127,English,PG,290158751,18000000
Superman II,1980,USA,116,English,PG,108200000,54000000
The Blue Lagoon,1980,USA,104,English,R,,4500000
The Blues Brothers,1980,USA,148,English,R,54200000,27000000
The Elephant Man,1980,USA,124,English,PG,,5000000
The Fog,1980,USA,89,English,R,21378000,1000000
The Fog,1980,USA,89,English,R,21378000,1000000
The Long Riders,1980,USA,100,English,R,,10000000
The Shining,1980,USA,146,English,R,,19000000
Blow Out,1981,USA,107,English,R,,18000000
Chariots of Fire,1981,UK,125,English,PG,58800000,5500000
Das Boot,1981,West Germany,293,German,R,11433134,14000000
Dragonslayer,1981,USA,108,English,PG,6000000,18000000
Escape from New York,1981,UK,106,English,R,25244700,6000000
For Your Eyes Only,1981,UK,127,English,PG,62300000,28000000
Friday the 13th Part 2,1981,USA,87,English,R,19100000,1250000
Graduation Day,1981,USA,96,English,R,,250000
Heartbeeps,1981,USA,78,English,PG,,10000000
Heavy Metal,1981,Canada,90,English,R,,9300000
History of the World: Part I,1981,USA,92,English,R,,11000000
History of the World: Part I,1981,USA,92,English,R,,11000000
Inchon,1981,South Korea,140,English,PG,,48000000
Mad Max 2: The Road Warrior,1981,Australia,87,English,R,9003011,2000000
Modern Problems,1981,USA,93,English,PG,,8000000
Mommie Dearest,1981,USA,129,English,R,,5000000
Nighthawks,1981,USA,99,English,R,,5000000
Porky's,1981,Canada,94,English,R,105500000,4000000
Quest for Fire,1981,Canada,100,None,R,,12500000
Raiders of the Lost Ark,1981,USA,115,English,PG,242374454,18000000
Reds,1981,USA,195,English,PG,,35000000
Roar,1981,USA,102,English,PG,2000000,17000000
Sphinx,1981,USA,118,English,PG,800000,14000000
Stripes,1981,USA,117,English,R,85300000,10000000
The Beyond,1981,Italy,82,Italian,X,126387,400000
The Evil Dead,1981,USA,96,English,NC-17,,375000
The Four Seasons,1981,USA,107,English,PG,,
The Howling,1981,USA,91,English,R,17986000,1000000
The Legend of the Lone Ranger,1981,USA,98,English,PG,8000000,18000000
The Postman Always Rings Twice,1981,USA,122,English,R,,12000000
The Pursuit of D.B. Cooper,1981,USA,100,English,PG,,12000000
Time Bandits,1981,UK,103,English,PG,42365600,5000000
Under the Rainbow,1981,USA,98,English,PG,8500000,20000000
Blade Runner,1982,USA,117,English,R,27000000,28000000
Butterfly,1982,USA,108,English,R,,
Cat People,1982,USA,93,English,R,,18000000
Cat People,1982,USA,93,English,R,,18000000
Class of 1984,1982,Canada,98,English,R,,4300000
Conan the Barbarian,1982,USA,129,English,R,37567440,20000000
Conan the Barbarian,1982,USA,129,English,R,37567440,20000000
Creepshow,1982,USA,130,English,R,,8000000
Creepshow,1982,USA,130,English,R,,8000000
Diner,1982,USA,110,English,R,14100000,5000000
E.T. the Extra-Terrestrial,1982,USA,120,English,PG,434949459,10500000
Fast Times at Ridgemont High,1982,USA,90,English,X,,4500000
Firefox,1982,USA,136,English,PG,46700000,21000000
First Blood,1982,USA,93,English,R,,14000000
First Blood,1982,USA,93,English,R,,14000000
Friday the 13th Part III,1982,USA,91,English,R,36200000,4000000
Gandhi,1982,UK,240,English,PG,,22000000
Halloween III: Season of the Witch,1982,USA,98,English,R,14400000,2500000
Jekyll and Hyde... Together Again,1982,USA,87,English,R,,5000000
Megaforce,1982,USA,99,English,PG,5333658,20000000
Poltergeist,1982,USA,120,English,PG,76600000,10700000
Poltergeist,1982,USA,120,English,PG,76600000,10700000
Star Trek II: The Wrath of Khan,1982,USA,116,English,PG,78900000,11000000
The Ballad of Gregorio Cortez,1982,USA,105,English,,,1250000
The Beastmaster,1982,USA,90,English,PG,,8000000
The Best Little Whorehouse in Texas,1982,USA,114,English,R,69700000,35000000
The Man from Snowy River,1982,Australia,102,English,PG,,3500000
The Thing,1982,USA,109,English,R,13782838,15000000
The Verdict,1982,USA,129,English,R,54000000,16000000
Tootsie,1982,USA,116,English,PG,177200000,22000000
A Christmas Story,1983,USA,94,English,PG,,4000000
Flashdance,1983,USA,95,English,R,94900000,4000000
Gabriela,1983,Brazil,99,Portuguese,R,,
Krull,1983,UK,116,English,PG,,27000000
Lone Wolf McQuade,1983,USA,107,English,PG,12200000,5000000
Losin' It,1983,Canada,100,English,R,,7000000
Love Letters,1983,USA,88,English,R,,550000
National Lampoon's Vacation,1983,USA,98,English,R,61400000,15000000
Never Say Never Again,1983,UK,121,English,PG,55500000,36000000
Octopussy,1983,UK,131,English,PG,67900000,27500000
Scarface,1983,USA,142,English,R,44700000,25000000
Star Wars: Episode VI - Return of the Jedi,1983,USA,134,English,PG,309125409,32500000
Superman III,1983,UK,125,English,PG,60000000,39000000
The Dead Zone,1983,USA,103,English,R,,10000000
The Outsiders,1983,USA,114,English,PG-13,25600000,10000000
The Right Stuff,1983,USA,193,English,PG,21500000,27000000
The Wicked Lady,1983,UK,98,English,R,,8000000
Trading Places,1983,USA,116,English,R,90400000,
Twilight Zone: The Movie,1983,USA,101,English,PG,29500000,10000000
Videodrome,1983,Canada,89,English,R,,5952000
WarGames,1983,USA,114,English,PG,79568000,12000000
Yentl,1983,UK,132,English,PG,30400000,12000000
A Nightmare on Elm Street,1984,USA,101,English,X,26505000,1800000
A Nightmare on Elm Street,1984,USA,101,English,X,26505000,1800000
A Passage to India,1984,UK,164,English,PG,26400000,16000000
Amadeus,1984,USA,180,English,R,51600000,18000000
Beverly Hills Cop,1984,USA,105,English,R,234760500,14000000
Body Double,1984,USA,114,English,R,,10000000
C.H.U.D.,1984,USA,96,English,R,,1250000
Conan the Destroyer,1984,USA,103,English,PG,26400000,18000000
Dune,1984,USA,177,English,PG-13,27400000,40000000
Firestarter,1984,USA,114,English,R,15100000,15000000
Footloose,1984,USA,107,English,PG,80000000,8200000
Footloose,1984,USA,107,English,PG,80000000,8200000
Friday the 13th: The Final Chapter,1984,USA,97,English,R,32600000,1800000
Gremlins,1984,USA,106,English,PG,148170000,11000000
Indiana Jones and the Temple of Doom,1984,USA,118,English,PG,179870271,28000000
Once Upon a Time in America,1984,Italy,251,English,R,5300000,30000000
Police Academy,1984,USA,96,English,R,81200000,4500000
Red Dawn,1984,USA,114,English,PG-13,,16900000
Repo Man,1984,USA,92,English,R,,1500000
Sheena,1984,UK,117,English,PG,,25000000
Splash,1984,USA,111,English,PG,69800000,8000000
Star Trek III: The Search for Spock,1984,USA,105,English,PG,76400000,17000000
The Bounty,1984,UK,132,English,PG,8600000,25000000
The Cotton Club,1984,USA,123,English,R,25900000,58000000
The Hotel New Hampshire,1984,UK,109,English,R,5100000,7500000
The Ice Pirates,1984,USA,91,English,PG,,9000000
The Karate Kid,1984,USA,126,English,PG,90800000,8000000
The Karate Kid,1984,USA,126,English,PG,90800000,8000000
The NeverEnding Story,1984,West Germany,94,English,PG,,27000000
The Terminator,1984,UK,107,English,R,38400000,6500000
The Toxic Avenger,1984,USA,91,English,Unrated,,475000
A Nightmare on Elm Street 2: Freddy's Revenge,1985,USA,87,English,R,30000000,2200000
A Room with a View,1985,UK,117,English,Unrated,20966644,3000000
A View to a Kill,1985,UK,131,English,PG,50300000,30000000
Back to the Future,1985,USA,116,English,PG,210609762,19000000
Brazil,1985,UK,142,English,R,9929000,15000000
Commando,1985,USA,75,English,R,,10000000
Day of the Dead,1985,USA,87,English,Unrated,,3500000
Day of the Dead,1985,USA,87,English,Unrated,,3500000
Def-Con 4,1985,Canada,88,English,R,,1750000
Friday the 13th: A New Beginning,1985,USA,92,English,R,21300000,2200000
Invasion U.S.A.,1985,USA,107,English,R,,10000000
Krush Groove,1985,USA,97,English,R,,3000000
Ladyhawke,1985,USA,121,English,PG-13,,20000000
Lifeforce,1985,UK,101,English,R,,25000000
Mad Max Beyond Thunderdome,1985,Australia,107,English,PG-13,36200000,12305523
My Beautiful Laundrette,1985,UK,97,English,R,,650000
Out of Africa,1985,USA,161,English,PG,87100000,31000000
Pale Rider,1985,USA,115,English,R,41400000,6900000
Rambo: First Blood Part II,1985,USA,96,English,R,150415432,44000000
Red Sonja,1985,Netherlands,89,English,PG-13,,17900000
Return to Oz,1985,UK,109,English,PG,,25000000
Silverado,1985,USA,133,English,PG-13,33200000,26000000
Subway,1985,France,98,French,R,,17000000
The Color Purple,1985,USA,154,English,PG-13,94175854,15000000
The Last Dragon,1985,USA,109,English,PG-13,33000000,10000000
The Return of the Living Dead,1985,USA,108,English,R,,4000000
The Return of the Living Dead,1985,USA,108,English,R,,4000000
Witness,1985,USA,112,English,R,65500000,12000000
Young Sherlock Holmes,1985,USA,109,English,PG-13,4250320,18000000
9Â½ Weeks,1986,USA,112,English,R,6734844,17000000
Aliens,1986,USA,154,English,R,85200000,18500000
April Fool's Day,1986,USA,89,English,R,12947763,5000000
Big Trouble in Little China,1986,USA,99,English,PG-13,11100000,25000000
Crocodile Dundee,1986,Australia,93,English,PG-13,174635000,8800000
Highlander,1986,UK,110,English,R,5900000,16000000
Howard the Duck,1986,USA,110,English,PG,16295774,35000000
Invaders from Mars,1986,USA,100,English,PG,4884663,12000000
Jason Lives: Friday the 13th Part VI,1986,USA,86,English,R,19472057,3000000
Legal Eagles,1986,USA,116,English,PG,49851591,40000000
Little Shop of Horrors,1986,USA,102,English,PG-13,38747385,25000000
Peggy Sue Got Married,1986,USA,103,English,PG-13,41382841,18000000
Platoon,1986,UK,120,English,R,137963328,6000000
River's Edge,1986,USA,99,English,R,4600000,1900000
Salvador,1986,UK,122,English,R,,4500000
Shanghai Surprise,1986,UK,97,English,PG-13,2315683,17000000
She's Gotta Have It,1986,USA,88,English,R,7137502,175000
Stand by Me,1986,USA,89,English,R,52287414,8000000
Star Trek IV: The Voyage Home,1986,USA,119,English,PG,109713132,25000000
The Clan of the Cave Bear,1986,USA,98,English,R,1953732,15000000
The Color of Money,1986,USA,119,English,R,52293982,13800000
The Golden Child,1986,USA,94,English,PG-13,79817937,25000000
The Texas Chainsaw Massacre 2,1986,USA,101,English,X,8025872,4700000
The Wraith,1986,USA,93,English,R,3500000,2700000
Top Gun,1986,USA,110,English,PG,176781728,15000000
Witchboard,1986,UK,98,English,R,7369373,2000000
3 Men and a Baby,1987,USA,102,English,PG,167780960,11000000
A Nightmare on Elm Street 3: Dream Warriors,1987,USA,88,English,X,44793200,4500000
American Ninja 2: The Confrontation,1987,USA,90,English,R,4000000,350000
Beverly Hills Cop II,1987,USA,100,English,R,153665036,28000000
Creepshow 2,1987,USA,85,English,R,14000000,3500000
Cry Freedom,1987,UK,147,English,PG,5899797,29000000
Evil Dead II,1987,USA,37,English,X,5923044,3600000
Fatal Attraction,1987,USA,119,English,R,156645693,14000000
From a Whisper to a Scream,1987,USA,92,English,R,1400000,1100000
"Good Morning, Vietnam",1987,USA,121,English,R,123922370,13000000
Hellraiser,1987,UK,86,English,R,14564027,1000000
Hollywood Shuffle,1987,USA,81,English,R,5228617,100000
Ishtar,1987,USA,107,English,PG-13,14375181,51000000
Jaws: The Revenge,1987,USA,92,English,PG-13,20763013,23000000
La Bamba,1987,USA,108,English,PG-13,54215416,6500000
Malone,1987,USA,92,English,R,3060858,10000000
Maurice,1987,UK,140,English,R,3130592,2600000
Predator,1987,USA,107,English,R,59735548,15000000
Prison,1987,USA,102,English,R,354704,1300000
Radio Days,1987,USA,88,English,PG,14792779,16000000
Spaceballs,1987,USA,96,English,PG,38119483,22700000
Superman IV: The Quest for Peace,1987,UK,134,English,PG,15681020,17000000
Teen Wolf Too,1987,USA,95,English,PG,7888703,3000000
The Barbarians,1987,USA,87,English,R,800000,4000000
The Brave Little Toaster,1987,USA,90,English,Not Rated,,2300000
The Last Emperor,1987,China,219,English,PG-13,43984230,23000000
The Living Daylights,1987,UK,130,English,PG,51185897,30000000
The Lost Boys,1987,USA,97,English,R,32222567,
The Princess Bride,1987,USA,98,English,PG,30857814,16000000
The Running Man,1987,USA,101,English,R,38122105,27000000
The Untouchables,1987,USA,119,English,R,76270454,25000000
Wall Street,1987,USA,126,English,R,43848100,15000000
A Nightmare on Elm Street 4: The Dream Master,1988,USA,99,English,R,49369900,7000000
Action Jackson,1988,USA,96,English,R,20257000,7000000
Akira,1988,Japan,124,Japanese,R,439162,1100000000
Beetlejuice,1988,USA,92,English,PG,73326666,15000000
Big,1988,USA,130,English,PG,114968774,18000000
